student_id,age,gender,class_10_marks,class_12_marks,preferred_subjects,interests,skills,extracurriculars,career_engineer,career_artist,career_teacher,career_scientist,career_writer,career_entrepreneur,career_lawyer,career_doctor,career_designer,career_marketer,career_journalist,career_psychologist,career_photographer,career_developer,career_researcher
1,18,Male,79.97,76.34,History,Technology,"Machine Learning, Writing, Public Speaking, Singing",Peer Counseling,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1
2,17,Male,81.48,96.28,Political Science,Technology,"Machine Learning, Sewing, CAD, Photography",Newspaper,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1
3,21,Male,72.66,75.19,Psychology,Education,"Java, Statistics, Photoshop, Singing",Photo Walk,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1
4,22,Female,90.79,87.21,History,Finance,"Photoshop, Public Speaking, Voice Modulation, Rhythm, Photography",Science Fair,0,0,1,0,0,1,1,0,1,0,0,0,1,0,1
5,20,Other,70.31,84.51,Biology,Finance,"Python, Java, Public Speaking, Dancing",Peer Counseling,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
6,22,Male,70.37,72.41,English,Law,"Machine Learning, Statistics, Photoshop, Creativity, Communication, Writing, Acting",Peer Counseling,0,1,1,0,1,0,0,0,1,1,0,0,0,0,1
7,21,Other,77.42,55.04,Political Science,Law,"Statistics, Voice Modulation, Singing",Newspaper,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1
8,20,Other,57.75,71.25,English,Technology,"Machine Learning, HTML, Java, Creativity, Photography, Dancing",Science Fair,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1
9,21,Other,64.87,81.77,Physics,Education,"Java, CAD, Photoshop",Photo Walk,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
10,19,Other,65.92,61.05,Psychology,Education,"HTML, CSS, Statistics, Sketching, Photoshop, Writing, Public Speaking, Rhythm, Dancing",Media Club,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1
11,18,Female,89.66,75.29,Physics,Arts,"Sketching, Creativity, Writing, Public Speaking, Dancing",Science Fair,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1
12,25,Other,75.68,60.9,Political Science,Arts,"CSS, Photoshop, Sketching, Writing",Photo Walk,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
13,22,Female,69.56,79.33,Political Science,Finance,"Voice Modulation, Writing, Instrument, Dancing",Peer Counseling,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
14,24,Other,63.49,82.51,Psychology,Medicine,"CSS, Creativity, Sketching, Public Speaking, Photography",Coding Club,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0
15,24,Male,68.99,74.5,Political Science,Technology,"Python, CSS, Creativity, Sewing",Media Club,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
16,17,Male,68.98,100.23,Biology,Finance,"Creativity, Sketching, Voice Modulation, Writing, Instrument, Photography",Photo Walk,0,1,0,0,1,1,0,1,1,0,0,0,1,0,0
17,24,Male,74.87,65.31,Computer Science,Education,"Voice Modulation, Communication, Acting",Peer Counseling,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
18,24,Other,83.23,63.35,Math,Economics,"Machine Learning, C++, Python",Newspaper,1,0,0,0,1,1,0,0,0,1,1,0,0,1,1
19,25,Female,77.09,54.48,Psychology,Education,"HTML, Java, Writing",Psych Club,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
20,25,Male,61.72,80.36,Biology,Technology,"HTML, Statistics, Java, Photoshop, Singing",Psych Club,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1
21,23,Female,82.38,80.06,Computer Science,Medicine,"Java, Statistics, C++, Dancing, Photography",Coding Club,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1
22,17,Other,73.84,74.39,English,Finance,"CSS, Statistics, Java, Writing, Voice Modulation",Newspaper,0,0,1,0,1,1,0,0,0,0,1,0,0,1,1
